location_citizenship,year,wealth_worth_in_billions,country-code,log_wealth_worth_in_billions
Algeria,2014,3.2,12.0,1.1631508098056809
Angola,2014,3.7,24.0,1.308332819650179
Argentina,1996,6.699999999999999,32.0,1.9021075263969203
Argentina,2001,5.3,32.0,1.667706820558076
Argentina,2014,11.299999999999999,32.0,2.424802725718295
Australia,1996,1.8,36.0,0.5877866649021191
Australia,2001,6.0,36.0,1.791759469228055
Australia,2014,85.4,36.0,4.447346100794524
Austria,2014,33.800000000000004,40.0,3.5204608024889734
Bahrain,1996,1.0,48.0,0.0
Belgium,2001,1.0,56.0,0.0
Belgium,2014,8.0,56.0,2.0794415416798357
Bermuda,2001,2.1,60.0,0.7419373447293773
Brazil,1996,18.4,76.0,2.91235066461494
Brazil,2001,14.1,76.0,2.6461747973841225
Brazil,2014,192.19999999999993,76.0,5.258536496536192
Canada,1996,15.799999999999999,124.0,2.760009940032921
Canada,2001,46.699999999999996,124.0,3.8437441646748516
Canada,2014,112.79999999999997,124.0,4.725616339063958
Chile,1996,8.8,152.0,2.174751721484161
Chile,2001,2.6,152.0,0.9555114450274363
Chile,2014,41.3,152.0,3.720862499966987
China,2001,1.3,156.0,0.26236426446749106
China,2014,375.8000000000003,156.0,5.929057086979365
Colombia,1996,4.2,170.0,1.4350845252893227
Colombia,2001,1.5,170.0,0.4054651081081644
Colombia,2014,30.599999999999994,170.0,3.421000008958335
Cyprus,2014,19.7,196.0,2.9806186357439426
Czech Republic,2014,18.4,203.0,2.91235066461494
Denmark,1996,4.8,208.0,1.5686159179138452
Denmark,2001,4.1,208.0,1.410986973710262
Denmark,2014,26.9,208.0,3.292126286607793
Ecuador,1996,1.2,218.0,0.1823215567939546
Egypt,2001,1.0,818.0,0.0
Egypt,2014,22.3,246.0,3.104586678466073
Finland,2014,6.6,246.0,1.8870696490323797
France,1996,35.7,250.0,3.5751506887855933
France,2001,65.89999999999999,250.0,4.188138441508461
France,2014,235.3,250.0,5.4608612957333165
Georgia,2014,5.2,268.0,1.6486586255873816
Germany,1996,129.59999999999997,276.0,4.864452783918174
Germany,2001,140.00000000000003,276.0,4.941642422609305
Germany,2014,401.40000000000003,276.0,5.9949584363622375
Greece,1996,13.299999999999999,300.0,2.587764035227708
Greece,2001,7.3,300.0,1.9878743481543455
Greece,2014,8.2,300.0,2.1041341542702074
Guernsey,2014,2.4,831.0,0.8754687373538999
Hong Kong,1996,73.89999999999998,344.0,4.3027128279541556
Hong Kong,2001,50.600000000000016,344.0,3.9239515762934203
Hong Kong,2014,213.70000000000005,344.0,5.364573162325102
India,1996,4.7,356.0,1.547562508716013
India,2001,14.2,356.0,2.653241964607215
India,2014,191.90000000000003,356.0,5.256974403013654
Indonesia,1996,29.800000000000004,360.0,3.3945083935113587
Indonesia,2001,3.0,360.0,1.0986122886681098
Indonesia,2014,47.800000000000004,360.0,3.8670256394974105
Ireland,1996,1.7,372.0,0.5306282510621704
Ireland,2001,3.3,372.0,1.1939224684724346
Ireland,2014,25.5,372.0,3.2386784521643803
Israel,1996,4.0,376.0,1.3862943611198906
Israel,2001,9.9,376.0,2.2925347571405443
Israel,2014,51.8,376.0,3.9473901492654373
Italy,1996,16.2,380.0,2.785011242238338
Italy,2001,46.0,380.0,3.828641396489095
Italy,2014,158.10000000000002,380.0,5.0632277442154265
Japan,1996,89.99999999999997,392.0,4.499809670330265
Japan,2001,89.3,392.0,4.492001487882454
Japan,2014,100.99999999999999,392.0,4.61512051684126
Kazakhstan,2014,9.2,398.0,2.2192034840549946
Kuwait,1996,3.0,414.0,1.0986122886681098
Kuwait,2001,6.0,414.0,1.791759469228055
Kuwait,2014,6.5,414.0,1.8718021769015913
Lebanon,1996,4.3,422.0,1.4586150226995167
Lebanon,2001,3.1,422.0,1.1314021114911006
Lebanon,2014,12.299999999999999,422.0,2.5095992623783716
Liechtenstein,1996,1.5,438.0,0.4054651081081644
Liechtenstein,2001,1.4,438.0,0.3364722366212129
Lithuania,2014,1.0,440.0,0.0
Macau,2014,2.8,446.0,1.0296194171811581
Malaysia,1996,26.0,458.0,3.258096538021482
Malaysia,2001,7.300000000000001,458.0,1.9878743481543455
Malaysia,2014,53.10000000000001,458.0,3.9721769282478934
Mexico,1996,25.6,484.0,3.242592351485517
